#PPL;Cedula;Nombres;Edad(Anios);Pena(anios);Fecha(Ingreso)(d/m/a);Fecha(Salida)(d/m/a);Anios Restantes (pena);Pabellon;Celda;Clasificacion;Visitas semanales(Horas);Delito
PPL 643;9497975148;Mario Diego Garcia Hidalgo;35;6;26/12/2019;26/12/2025;1;5(E);E23;Bajo;4;Otros
PPL 644;6818025402;Dario Sergio Torres Ramirez;30;7;09/03/2018;09/03/2025;1;5(E);E24;Bajo;4;Invasion
PPL 645;3988720268;Michael Angel Garcia Reyes;32;20;11/01/2024;11/01/2044;20;5(E);E25;Bajo;4;Estafa
PPL 646;6191672235;Pedro Diego Torres Espinosa;63;45;19/02/1982;19/02/2027;3;5(E);E26;Bajo;4;Invasion
PPL 647;4540469365;Mario Antonio Torres Rivera;35;19;22/10/2008;22/10/2027;3;5(E);E27;Bajo;4;Otros
PPL 648;1567212581;Victor Angel Gonzales Reyes;49;22;09/01/2004;09/01/2026;2;5(E);E28;Bajo;4;Otros
PPL 649;1242913903;Gonzalo Adrian Paredes Gomez;42;12;21/06/2019;21/06/2031;7;5(E);E29;Bajo;4;Otros
PPL 650;1792586552;Fabian Paulo Gonzales Gomez;28;17;26/05/2019;26/05/2036;12;5(E);E30;Bajo;4;Amenazas
PPL 651;6169890172;Victor Paulo Romero Sanchez;48;21;06/12/2024;06/12/2045;21;5(E);E31;Bajo;4;Amenazas
PPL 652;5687724816;Victor Julian Garcia Sanchez;50;27;02/12/1999;02/12/2026;2;5(E);E32;Bajo;4;Amenazas
PPL 653;4349874322;Roberto Diego Cevallos Ramirez;59;42;06/05/1986;06/05/2028;4;5(E);E33;Bajo;4;Invasion
PPL 654;3330882428;Mario Cesar Paredes Morales;59;43;11/07/1985;11/07/2028;4;5(E);E34;Bajo;4;Amenazas
PPL 655;1226071797;Pedro Julian Cevallos Morales;45;21;14/11/2004;14/11/2025;1;5(E);E35;Bajo;4;Invasion
PPL 656;8672250449;Pedro Angel Garcia Hidalgo;53;38;09/02/1990;09/02/2028;4;5(E);E36;Bajo;4;Otros
PPL 657;4409941646;Michael Antonio Garcia Gomez;42;23;26/06/2019;26/06/2042;18;5(E);E37;Bajo;4;Otros
PPL 658;6393235935;Roberto Angel Cevallos Sanchez;42;28;03/03/2002;03/03/2030;6;5(E);E38;Bajo;4;Invasion
PPL 659;7200340245;Pedro Angel Gonzales Rivera;49;29;05/01/2012;05/01/2041;17;5(E);E39;Bajo;4;Amenazas
PPL 660;2879595066;Victor Julian Perero Gomez;37;26;13/11/2021;13/11/2047;23;5(E);E40;Bajo;4;Otros
PPL 661;4355063010;Carlos Antonio Torres Sanchez;41;25;19/04/2002;19/04/2027;3;5(E);E41;Bajo;4;Otros
PPL 662;1520114777;Michael Julian Perero Gomez;42;20;12/01/2006;12/01/2026;2;5(E);E42;Bajo;4;Amenazas
PPL 663;1239191256;Victor Cesar Cevallos Rivera;44;26;01/03/2001;01/03/2027;3;5(E);E43;Bajo;4;Otros
PPL 664;9790577610;Michael Adrian Gonzales Reyes;58;45;22/09/1985;22/09/2030;6;5(E);E44;Bajo;4;Invasion
PPL 665;1877535968;Michael Adrian Cevallos Gomez;62;44;01/08/1982;01/08/2026;2;5(E);E45;Bajo;4;Otros
PPL 666;3446444432;Mario Paulo Guerrero Roman;39;23;26/01/2005;26/01/2028;4;5(E);E46;Bajo;4;Amenazas
PPL 667;7513635898;Pedro Antonio Cevallos Roman;51;38;05/11/1992;05/11/2030;6;5(E);E47;Bajo;4;Invasion
PPL 668;4646694969;Fabian Adrian Garcia Gomez;45;29;16/11/2016;16/11/2045;21;5(E);E48;Bajo;4;Amenazas
PPL 669;7910249424;Gonzalo Diego Cuenca Sanchez;54;38;22/06/1992;22/06/2030;6;5(E);E49;Bajo;4;Otros
PPL 670;3730719849;Pedro Pablo Garcia Sanchez;42;12;21/12/2016;21/12/2028;4;5(E);E50;Bajo;4;Otros
PPL 671;1027895261;Michael Cesar Cevallos Hidalgo;56;37;18/08/1989;18/08/2026;2;5(E);E51;Bajo;4;Invasion
PPL 672;8545331908;Fabian Pablo Torres Espinosa;35;26;07/07/2008;07/07/2034;10;5(E);E52;Bajo;4;Amenazas
PPL 673;7633216185;Mario Angel Cuenca Rivera;38;18;13/06/2009;13/06/2027;3;5(E);E53;Bajo;4;Estafa
PPL 674;4348047409;Michael Paulo Paredes Morales;32;7;28/04/2018;28/04/2025;1;5(E);E54;Bajo;4;Estafa
PPL 675;9003083714;Roberto Cesar Romero Morales;46;25;08/09/2002;08/09/2027;3;5(E);E55;Bajo;4;Invasion
PPL 676;6626338567;Gonzalo Sergio Gonzales Reyes;46;30;03/04/1997;03/04/2027;3;5(E);E56;Bajo;4;Amenazas
PPL 677;7503847513;Mario Angel Perero Sanchez;54;37;27/03/1989;27/03/2026;2;5(E);E57;Bajo;4;Invasion
PPL 678;3743692617;Carlos Cesar Torres Ramirez;31;21;08/03/2021;08/03/2042;18;5(E);E58;Bajo;4;Amenazas
PPL 679;9340938983;Fabian Paulo Garcia Gomez;58;43;27/12/1986;27/12/2029;5;5(E);E59;Bajo;4;Amenazas
PPL 680;1967086508;Pedro Cesar Guerrero Sanchez;34;13;25/04/2012;25/04/2025;1;5(E);E60;Bajo;4;Otros
PPL 681;7708179136;Michael Antonio Paredes Sanchez;28;18;26/02/2018;26/02/2036;12;5(E);E61;Bajo;4;Otros
PPL 682;7324484105;Michael Antonio Paredes Hidalgo;59;43;23/11/1985;23/11/2028;4;5(E);E62;Bajo;4;Amenazas
PPL 683;2800653866;Pedro Antonio Cevallos Sanchez;40;26;16/10/2004;16/10/2030;6;5(E);E63;Bajo;4;Amenazas
PPL 684;3479480493;Michael Antonio Paredes Hidalgo;54;36;23/02/1992;23/02/2028;4;5(E);E64;Bajo;4;Invasion
PPL 685;2983173834;Dario Paulo Romero Sanchez;60;46;26/10/1983;26/10/2029;5;5(E);E65;Bajo;4;Invasion
PPL 686;1463825177;Carlos Cesar Torres Sanchez;27;7;10/08/2022;10/08/2029;5;5(E);E66;Bajo;4;Amenazas
PPL 687;7060160332;Fabian Antonio Cuenca Reyes;50;32;05/04/1996;05/04/2028;4;5(E);E67;Bajo;4;Otros
PPL 688;9648443448;Mario Antonio Garcia Rivera;62;47;02/01/1983;02/01/2030;6;5(E);E68;Bajo;4;Otros
PPL 689;8888675926;Gonzalo Diego Gonzales Roman;39;22;04/01/2004;04/01/2026;2;5(E);E69;Bajo;4;Amenazas
PPL 690;3541847093;Carlos Sergio Torres Espinosa;41;14;21/11/2016;21/11/2030;6;5(E);E70;Bajo;4;Amenazas
PPL 691;2404268961;Victor Julian Romero Sanchez;54;37;03/06/1990;03/06/2027;3;5(E);E71;Bajo;4;Otros
PPL 692;7151294819;Victor Sergio Perero Gomez;42;28;28/12/2003;28/12/2031;7;5(E);E72;Bajo;4;Invasion
PPL 693;4738146204;Fabian Julian Garcia Reyes;62;46;28/12/1983;28/12/2029;5;5(E);E73;Bajo;4;Estafa
PPL 694;5457590489;Dario Pablo Paredes Espinosa;50;32;11/08/1996;11/08/2028;4;5(E);E74;Bajo;4;Otros
PPL 695;5193337646;Victor Antonio Paredes Morales;64;48;05/05/1981;05/05/2029;5;5(E);E75;Bajo;4;Amenazas
PPL 696;5652755121;Mario Pablo Romero Ramirez;62;47;30/01/1983;30/01/2030;6;5(E);E76;Bajo;4;Amenazas
PPL 697;2005359103;Roberto Julian Perero Hidalgo;46;29;28/01/2000;28/01/2029;5;5(E);E77;Bajo;4;Amenazas
PPL 698;8734095188;Victor Sergio Paredes Morales;45;20;31/02/2008;31/02/2028;4;5(E);E78;Bajo;4;Estafa
PPL 699;6025697805;Roberto Cesar Garcia Roman;56;38;12/03/1990;12/03/2028;4;5(E);E79;Bajo;4;Invasion
PPL 700;6179763767;Gonzalo Pablo Paredes Sanchez;41;23;16/10/2012;16/10/2035;11;5(E);E80;Bajo;4;Amenazas
PPL 701;7779624804;Dario Pablo Paredes Sanchez;51;36;26/02/1994;26/02/2030;6;5(E);E81;Bajo;4;Amenazas
PPL 702;9198569443;Mario Cesar Paredes Gomez;32;23;27/05/2016;27/05/2039;15;5(E);E82;Bajo;4;Invasion
PPL 703;7310886758;Roberto Paulo Cevallos Rivera;46;30;03/06/1999;03/06/2029;5;5(E);E83;Bajo;4;Estafa
PPL 704;9964915705;Pedro Pablo Garcia Roman;60;45;28/01/1984;28/01/2029;5;5(E);E84;Bajo;4;Estafa
PPL 705;6490813600;Fabian Diego Garcia Rivera;46;9;11/06/2023;11/06/2032;8;5(E);E85;Bajo;4;Estafa
PPL 706;7719162914;Roberto Antonio Cevallos Roman;46;21;13/01/2007;13/01/2028;4;5(E);E86;Bajo;4;Otros
PPL 707;9797460565;Mario Sergio Gonzales Roman;34;21;27/08/2009;27/08/2030;6;5(E);E87;Bajo;4;Amenazas
PPL 708;5708659901;Dario Adrian Perero Sanchez;63;46;19/12/1982;19/12/2028;4;5(E);E88;Bajo;4;Invasion
PPL 709;4285229879;Mario Diego Gonzales Espinosa;58;42;07/09/1986;07/09/2028;4;5(E);E89;Bajo;4;Amenazas
PPL 710;8599690163;Pedro Sergio Paredes Espinosa;30;15;05/01/2013;05/01/2028;4;5(E);E90;Bajo;4;Otros
PPL 711;7072060261;Roberto Sergio Romero Sanchez;27;30;26/11/2021;26/11/2051;27;5(E);E1;Bajo;4;Otros
PPL 712;1605310241;Carlos Diego Paredes Gomez;39;19;09/06/2007;09/06/2026;2;5(E);E2;Bajo;4;Estafa
PPL 713;2485387806;Victor Adrian Torres Morales;65;45;16/07/1981;16/07/2026;2;5(E);E3;Bajo;4;Amenazas
PPL 714;5525774032;Michael Julian Cevallos Sanchez;60;42;14/02/1986;14/02/2028;4;5(E);E4;Bajo;4;Otros
PPL 715;4261039869;Mario Sergio Perero Gomez;55;39;03/06/1989;03/06/2028;4;5(E);E5;Bajo;4;Invasion
PPL 716;8546147068;Fabian Angel Torres Rivera;48;32;08/01/1996;08/01/2028;4;5(E);E6;Bajo;4;Estafa
PPL 717;3079621691;Dario Sergio Guerrero Espinosa;41;24;12/10/2022;12/10/2046;22;5(E);E7;Bajo;4;Otros
PPL 718;2262380944;Gonzalo Antonio Torres Espinosa;36;27;25/09/2007;25/09/2034;10;5(E);E8;Bajo;4;Otros
PPL 719;7327076253;Carlos Diego Perero Espinosa;41;11;11/04/2016;11/04/2027;3;5(E);E9;Bajo;4;Invasion
PPL 720;9307264350;Michael Sergio Perero Roman;36;22;18/02/2007;18/02/2029;5;5(E);E10;Bajo;4;Amenazas
PPL 721;7282218308;Victor Diego Paredes Rivera;57;39;24/04/1989;24/04/2028;4;5(E);E11;Bajo;4;Estafa
PPL 722;9428261519;Carlos Adrian Paredes Gomez;59;44;26/06/1984;26/06/2028;4;5(E);E12;Bajo;4;Invasion
PPL 723;3693112187;Pedro Pablo Romero Morales;55;38;05/07/1990;05/07/2028;4;5(E);E13;Bajo;4;Invasion
PPL 724;4847685735;Carlos Angel Cuenca Sanchez;55;39;16/01/1991;16/01/2030;6;5(E);E14;Bajo;4;Estafa
PPL 725;6492587771;Fabian Antonio Guerrero Sanchez;32;30;23/08/2022;23/08/2052;28;5(E);E15;Bajo;4;Estafa
PPL 726;5981244310;Dario Antonio Garcia Morales;60;46;28/05/1983;28/05/2029;5;5(E);E16;Bajo;4;Estafa
PPL 727;2227849277;Roberto Adrian Paredes Sanchez;56;41;03/04/1987;03/04/2028;4;5(E);E17;Bajo;4;Invasion
PPL 728;5834950588;Gonzalo Angel Garcia Sanchez;48;33;27/09/1996;27/09/2029;5;5(E);E18;Bajo;4;Invasion
PPL 729;3280345875;Fabian Antonio Paredes Reyes;61;41;17/11/1985;17/11/2026;2;5(E);E19;Bajo;4;Amenazas
PPL 730;9470241102;Roberto Antonio Cevallos Sanchez;56;38;05/04/1990;05/04/2028;4;5(E);E20;Bajo;4;Invasion
PPL 731;4652845557;Fabian Julian Paredes Rivera;31;17;23/06/2023;23/06/2040;16;5(E);E21;Bajo;4;Estafa
PPL 732;1956786762;Mario Pablo Paredes Roman;46;23;29/05/2009;29/05/2032;8;5(E);E22;Bajo;4;Invasion
PPL 733;3160271619;Gonzalo Adrian Gonzales Rivera;41;22;27/12/2006;27/12/2028;4;5(E);E23;Bajo;4;Otros
PPL 734;4916425924;Michael Adrian Cuenca Sanchez;31;3;15/11/2023;15/11/2026;2;5(E);E24;Bajo;4;Invasion
PPL 735;7944570538;Fabian Diego Cuenca Sanchez;53;36;24/08/1993;24/08/2029;5;5(E);E25;Bajo;4;Estafa
PPL 736;6897566770;Michael Sergio Garcia Ramirez;33;18;24/07/2024;24/07/2042;18;5(E);E26;Bajo;4;Estafa
PPL 737;1266033990;Fabian Sergio Cuenca Gomez;45;31;07/03/1998;07/03/2029;5;5(E);E27;Bajo;4;Estafa
PPL 738;7029012065;Roberto Cesar Garcia Espinosa;39;26;19/03/2004;19/03/2030;6;5(E);E28;Bajo;4;Otros
PPL 739;4396817595;Roberto Paulo Gonzales Hidalgo;39;26;05/07/2004;05/07/2030;6;5(E);E29;Bajo;4;Otros
PPL 740;8808059677;Michael Angel Cuenca Morales;45;25;27/05/2002;27/05/2027;3;5(E);E30;Bajo;4;Estafa
PPL 741;8306339417;Victor Cesar Cevallos Espinosa;25;22;26/01/2018;26/01/2040;16;5(E);E31;Bajo;4;Estafa
PPL 742;1111393705;Roberto Paulo Gonzales Hidalgo;34;20;09/03/2009;09/03/2029;5;5(E);E32;Bajo;4;Estafa
PPL 743;2329760619;Michael Sergio Paredes Roman;40;23;02/08/2003;02/08/2026;2;5(E);E33;Bajo;4;Otros
PPL 744;9744069902;Michael Diego Romero Espinosa;33;30;26/11/2020;26/11/2050;26;5(E);E34;Bajo;4;Invasion
PPL 745;9263678635;Pedro Diego Cevallos Reyes;53;35;22/12/1992;22/12/2027;3;5(E);E35;Bajo;4;Amenazas
PPL 746;5827170984;Victor Adrian Garcia Ramirez;51;36;14/11/1994;14/11/2030;6;5(E);E36;Bajo;4;Invasion
PPL 747;2576970148;Roberto Angel Paredes Sanchez;50;20;09/12/2014;09/12/2034;10;5(E);E37;Bajo;4;Amenazas
PPL 748;6427689600;Pedro Antonio Torres Reyes;61;46;11/12/1983;11/12/2029;5;5(E);E38;Bajo;4;Otros
PPL 749;2834898078;Victor Angel Gonzales Morales;49;25;06/01/2006;06/01/2031;7;5(E);E39;Bajo;4;Estafa
PPL 750;7689211792;Roberto Antonio Cevallos Espinosa;54;38;21/02/1990;21/02/2028;4;5(E);E40;Bajo;4;Estafa
PPL 751;3290791278;Roberto Sergio Guerrero Sanchez;46;25;16/12/2003;16/12/2028;4;5(E);E41;Bajo;4;Otros
PPL 752;1200472192;Gonzalo Angel Cuenca Espinosa;55;40;17/07/1988;17/07/2028;4;5(E);E42;Bajo;4;Otros
PPL 753;1562141430;Mario Adrian Guerrero Sanchez;33;17;17/05/2013;17/05/2030;6;5(E);E43;Bajo;4;Amenazas
PPL 754;5934262645;Fabian Julian Garcia Ramirez;54;40;05/02/1989;05/02/2029;5;5(E);E44;Bajo;4;Amenazas
PPL 755;8745143623;Dario Antonio Garcia Roman;59;43;12/01/1985;12/01/2028;4;5(E);E45;Bajo;4;Amenazas
PPL 756;8148587840;Gonzalo Sergio Cuenca Roman;60;41;26/09/1985;26/09/2026;2;5(E);E46;Bajo;4;Invasion
PPL 757;10003060191;Roberto Pablo Torres Hidalgo;36;29;16/09/2007;16/09/2036;12;5(E);E47;Bajo;4;Amenazas
PPL 758;3242496044;Roberto Antonio Guerrero Gomez;60;45;12/09/1985;12/09/2030;6;5(E);E48;Bajo;4;Otros
PPL 759;2047869840;Carlos Adrian Torres Rivera;47;33;23/08/1996;23/08/2029;5;5(E);E49;Bajo;4;Invasion
PPL 760;3612643175;Dario Adrian Cuenca Hidalgo;47;28;14/08/2002;14/08/2030;6;5(E);E50;Bajo;4;Otros
PPL 761;9555633412;Roberto Cesar Perero Gomez;39;18;06/03/2008;06/03/2026;2;5(E);E51;Bajo;4;Amenazas
PPL 762;5267574603;Carlos Sergio Cevallos Reyes;39;18;02/01/2022;02/01/2040;16;5(E);E52;Bajo;4;Otros
PPL 763;6109198473;Mario Antonio Torres Roman;33;20;22/04/2010;22/04/2030;6;5(E);E53;Bajo;4;Otros
PPL 764;6810882061;Dario Angel Romero Reyes;44;25;15/07/2001;15/07/2026;2;5(E);E54;Bajo;4;Amenazas
PPL 765;7836082144;Victor Adrian Romero Morales;36;19;13/04/2010;13/04/2029;5;5(E);E55;Bajo;4;Otros
PPL 766;4094052450;Dario Cesar Torres Sanchez;48;10;29/01/2017;29/01/2027;3;5(E);E56;Bajo;4;Estafa
PPL 767;8070392663;Victor Sergio Paredes Sanchez;46;31;17/06/1999;17/06/2030;6;5(E);E57;Bajo;4;Invasion
PPL 768;10028313512;Dario Adrian Torres Reyes;49;33;04/09/1997;04/09/2030;6;5(E);E58;Bajo;4;Otros
PPL 769;5524592484;Fabian Sergio Paredes Gomez;50;9;22/12/2019;22/12/2028;4;5(E);E59;Bajo;4;Invasion
PPL 770;4081918411;Fabian Cesar Cuenca Morales;54;34;15/11/1992;15/11/2026;2;5(E);E60;Bajo;4;Estafa
PPL 771;2187646047;Mario Sergio Cuenca Roman;25;22;12/10/2020;12/10/2042;18;5(E);E61;Bajo;4;Estafa
PPL 772;2667899930;Mario Adrian Romero Morales;63;46;12/12/1980;12/12/2026;2;5(E);E62;Bajo;4;Invasion
PPL 773;6152367914;Gonzalo Pablo Paredes Gomez;39;26;01/08/2024;01/08/2050;26;5(E);E63;Bajo;4;Invasion
PPL 774;6649378296;Roberto Paulo Garcia Morales;22;15;30/01/2021;30/01/2036;12;5(E);E64;Bajo;4;Invasion
PPL 775;2960071114;Mario Julian Cevallos Roman;37;16;07/02/2014;07/02/2030;6;5(E);E65;Bajo;4;Otros
PPL 776;2334765103;Victor Diego Torres Rivera;48;32;11/07/1995;11/07/2027;3;5(E);E66;Bajo;4;Estafa
PPL 777;7343890681;Mario Julian Cuenca Rivera;37;14;13/06/2018;13/06/2032;8;5(E);E67;Bajo;4;Amenazas
PPL 778;7948154489;Carlos Pablo Cevallos Sanchez;45;29;23/03/1998;23/03/2027;3;5(E);E68;Bajo;4;Amenazas
PPL 779;8686446807;Pedro Pablo Paredes Ramirez;60;43;17/11/1984;17/11/2027;3;5(E);E69;Bajo;4;Invasion
PPL 780;8377751703;Roberto Cesar Cuenca Morales;30;18;05/12/2024;05/12/2042;18;5(E);E70;Bajo;4;Invasion
PPL 781;4380046029;Carlos Sergio Perero Rivera;48;35;03/03/1995;03/03/2030;6;5(E);E71;Bajo;4;Amenazas
PPL 782;2569836349;Dario Cesar Paredes Gomez;42;23;15/11/2004;15/11/2027;3;5(E);E72;Bajo;4;Otros
PPL 783;6011726604;Michael Antonio Garcia Sanchez;52;38;09/10/1991;09/10/2029;5;5(E);E73;Bajo;4;Invasion
PPL 784;2798372368;Roberto Antonio Paredes Espinosa;43;27;25/04/2000;25/04/2027;3;5(E);E74;Bajo;4;Invasion
PPL 785;3161896530;Roberto Diego Cuenca Sanchez;52;34;10/12/1992;10/12/2026;2;5(E);E75;Bajo;4;Estafa
PPL 786;6691313562;Roberto Antonio Guerrero Sanchez;59;43;09/09/1984;09/09/2027;3;5(E);E76;Bajo;4;Estafa
PPL 787;9160717898;Fabian Adrian Gonzales Roman;31;22;01/03/2017;01/03/2039;15;5(E);E77;Bajo;4;Otros
PPL 788;8558617224;Michael Antonio Guerrero Roman;32;17;20/12/2012;20/12/2029;5;5(E);E78;Bajo;4;Invasion
PPL 789;5863933026;Michael Antonio Paredes Ramirez;30;17;16/02/2013;16/02/2030;6;5(E);E79;Bajo;4;Estafa
PPL 790;8200280876;Michael Julian Guerrero Sanchez;47;19;24/10/2009;24/10/2028;4;5(E);E80;Bajo;4;Amenazas
PPL 791;3670818546;Michael Paulo Cuenca Hidalgo;40;23;28/04/2004;28/04/2027;3;5(E);E81;Bajo;4;Amenazas
PPL 792;1326950656;Michael Cesar Cevallos Espinosa;42;26;09/07/2002;09/07/2028;4;5(E);E82;Bajo;4;Amenazas
PPL 793;6904266219;Gonzalo Adrian Cevallos Reyes;35;26;04/01/2011;04/01/2037;13;5(E);E83;Bajo;4;Invasion
PPL 794;5877622150;Gonzalo Julian Cevallos Espinosa;48;20;30/04/2007;30/04/2027;3;5(E);E84;Bajo;4;Invasion
PPL 795;9072347692;Gonzalo Cesar Cevallos Sanchez;42;8;14/02/2024;14/02/2032;8;5(E);E85;Bajo;4;Estafa
PPL 796;4552881349;Carlos Julian Guerrero Reyes;55;36;30/05/1990;30/05/2026;2;5(E);E86;Bajo;4;Otros
PPL 797;3064359151;Roberto Sergio Gonzales Ramirez;47;27;14/05/1999;14/05/2026;2;5(E);E87;Bajo;4;Invasion
PPL 798;4633177491;Roberto Pablo Paredes Roman;65;49;10/12/1980;10/12/2029;5;5(E);E88;Bajo;4;Amenazas
PPL 799;8688420562;Fabian Pablo Guerrero Rivera;62;43;27/02/1984;27/02/2027;3;5(E);E89;Bajo;4;Amenazas
