#PPL;Cedula;Nombres;Edad(Anios);Pena(anios);Fecha(Ingreso)(d/m/a);Fecha(Salida)(d/m/a); Anios Restantes (pena); Pabellon; Celda; Clasificacion; Visitas semanales(Horas); Delito
PPL 292;3669161476;Carlos Antonio Guerrero Roman;64;48;20/12/1981;20/12/2029;5;3(C);C32;Medio;2;Evacion
PPL 293;9342536710;Dario Diego Perero Morales;42;28;26/11/2001;26/11/2029;5;3(C);C33;Medio;2;Robo
PPL 294;2424180387;Pedro Antonio Guerrero Roman;47;24;25/10/2016;25/10/2040;16;3(C);C34;Medio;2;Robo
PPL 295;4650875593;Pedro Julian Garcia Morales;50;35;19/11/1993;19/11/2028;4;3(C);C35;Medio;2;Hurto
PPL 296;4460715203;Victor Antonio Cuenca Espinosa;32;20;05/03/2014;05/03/2034;10;3(C);C36;Medio;2;Hurto
PPL 297;7618132103;Mario Pablo Paredes Espinosa;50;34;27/09/1994;27/09/2028;4;3(C);C37;Medio;2;Robo
PPL 298;4773720311;Mario Antonio Garcia Gomez;41;27;11/12/2012;11/12/2039;15;3(C);C38;Medio;2;Evacion
PPL 299;7668422317;Michael Antonio Torres Morales;30;24;23/08/2016;23/08/2040;16;3(C);C39;Medio;2;Robo
PPL 300;2778738835;Michael Julian Guerrero Espinosa;34;3;15/02/2022;15/02/2025;1;3(C);C40;Medio;2;Robo
PPL 301;8531725907;Carlos Pablo Romero Morales;36;19;30/07/2007;30/07/2026;2;3(C);C41;Medio;2;Robo
PPL 302;8604444541;Gonzalo Paulo Gonzales Morales;54;37;26/07/1992;26/07/2029;5;3(C);C42;Medio;2;Hurto
PPL 303;8473546261;Roberto Diego Gonzales Sanchez;55;37;26/10/1989;26/10/2026;2;3(C);C43;Medio;2;Hurto
PPL 304;9764411864;Roberto Antonio Romero Sanchez;40;26;20/11/2003;20/11/2029;5;3(C);C44;Medio;2;Robo
PPL 305;4995697675;Mario Antonio Perero Morales;34;18;11/03/2009;11/03/2027;3;3(C);C45;Medio;2;Robo
PPL 306;5391827241;Roberto Pablo Torres Rivera;59;44;19/05/1984;19/05/2028;4;3(C);C46;Medio;2;Robo
PPL 307;2643690861;Gonzalo Angel Paredes Roman;34;18;23/05/2011;23/05/2029;5;3(C);C47;Medio;2;Fraude
PPL 308;4089160674;Mario Sergio Torres Sanchez;44;30;07/06/2000;07/06/2030;6;3(C);C48;Medio;2;Evacion
PPL 309;6120251045;Fabian Sergio Paredes Roman;56;39;12/12/1987;12/12/2026;2;3(C);C49;Medio;2;Hurto
PPL 310;2845018520;Victor Paulo Romero Sanchez;43;15;20/04/2015;20/04/2030;6;3(C);C50;Medio;2;Robo
PPL 311;6146283344;Roberto Diego Paredes Sanchez;61;44;29/07/1985;29/07/2029;5;3(C);C51;Medio;2;Evacion
PPL 312;3934512638;Roberto Antonio Torres Roman;43;26;23/06/2002;23/06/2028;4;3(C);C52;Medio;2;Robo
PPL 313;3429271451;Carlos Angel Romero Hidalgo;53;37;28/07/1990;28/07/2027;3;3(C);C53;Medio;2;Hurto
PPL 314;3152119105;Pedro Adrian Perero Reyes;40;26;16/03/2004;16/03/2030;6;3(C);C54;Medio;2;Hurto
PPL 315;4498286497;Pedro Antonio Cuenca Sanchez;21;12;16/06/2024;16/06/2036;12;3(C);C55;Medio;2;Hurto
PPL 316;1596354943;Dario Antonio Guerrero Rivera;45;27;02/12/1998;02/12/2025;1;3(C);C56;Medio;2;Fraude
PPL 317;4442819007;Pedro Antonio Torres Roman;49;34;12/09/1994;12/09/2028;4;3(C);C57;Medio;2;Hurto
PPL 318;4008796224;Fabian Sergio Garcia Morales;63;47;26/07/1982;26/07/2029;5;3(C);C58;Medio;2;Evacion
PPL 319;2466738170;Dario Diego Paredes Sanchez;44;27;19/08/2000;19/08/2027;3;3(C);C59;Medio;2;Evacion
PPL 320;2755043293;Mario Paulo Perero Sanchez;41;21;10/04/2004;10/04/2025;1;3(C);C60;Medio;2;Evacion
PPL 321;4565355743;Carlos Julian Paredes Gomez;49;32;25/05/1994;25/05/2026;2;3(C);C61;Medio;2;Evacion
PPL 322;8809554064;Mario Cesar Cuenca Sanchez;25;8;14/08/2019;14/08/2027;3;3(C);C62;Medio;2;Robo
PPL 323;5825332003;Dario Cesar Gonzales Gomez;30;17;27/01/2013;27/01/2030;6;3(C);C63;Medio;2;Hurto
PPL 324;9250363916;Michael Cesar Garcia Morales;54;37;11/09/1992;11/09/2029;5;3(C);C64;Medio;2;Fraude
PPL 325;4730112889;Dario Angel Cuenca Morales;38;29;30/04/2005;30/04/2034;10;3(C);C65;Medio;2;Robo
PPL 326;7602957148;Roberto Diego Cuenca Sanchez;40;12;22/09/2024;22/09/2036;12;3(C);C66;Medio;2;Fraude
PPL 327;3201943000;Carlos Antonio Paredes Sanchez;49;36;07/01/1994;07/01/2030;6;3(C);C67;Medio;2;Hurto
PPL 328;2695499467;Michael Antonio Guerrero Hidalgo;58;39;13/12/1987;13/12/2026;2;3(C);C68;Medio;2;Robo
PPL 329;4304562254;Gonzalo Diego Paredes Morales;57;40;22/04/1986;22/04/2026;2;3(C);C69;Medio;2;Evacion
PPL 330;9796123416;Victor Antonio Cuenca Hidalgo;40;23;08/12/2005;08/12/2028;4;3(C);C70;Medio;2;Robo
PPL 331;9293696471;Pedro Cesar Gonzales Sanchez;41;30;05/01/2020;05/01/2050;26;3(C);C71;Medio;2;Hurto
PPL 332;6535995804;Gonzalo Paulo Perero Roman;39;22;19/01/2007;19/01/2029;5;3(C);C72;Medio;2;Hurto
PPL 333;9131852326;Mario Pablo Torres Hidalgo;47;33;30/10/1997;30/10/2030;6;3(C);C73;Medio;2;Hurto
PPL 334;4613241320;Victor Paulo Perero Morales;38;16;23/10/2009;23/10/2025;1;3(C);C74;Medio;2;Evacion
PPL 335;7722099339;Carlos Paulo Garcia Sanchez;44;27;07/08/1999;07/08/2026;2;3(C);C75;Medio;2;Evacion
PPL 336;9079537179;Dario Pablo Paredes Morales;45;26;15/04/2019;15/04/2045;21;3(C);C76;Medio;2;Hurto
PPL 337;6738228101;Gonzalo Antonio Gonzales Morales;43;23;01/03/2003;01/03/2026;2;3(C);C77;Medio;2;Fraude
PPL 338;6881433179;Carlos Cesar Guerrero Rivera;46;30;05/03/1999;05/03/2029;5;3(C);C78;Medio;2;Fraude
PPL 339;3475616965;Michael Sergio Garcia Sanchez;51;34;01/05/1994;01/05/2028;4;3(C);C79;Medio;2;Fraude
PPL 340;9810420376;Gonzalo Diego Gonzales Ramirez;44;26;23/02/2002;23/02/2028;4;3(C);C80;Medio;2;Hurto
PPL 341;7147661126;Carlos Angel Cevallos Gomez;46;9;09/11/2016;09/11/2025;1;3(C);C81;Medio;2;Evacion
PPL 342;5580763131;Fabian Adrian Torres Roman;63;48;03/05/1980;03/05/2028;4;3(C);C82;Medio;2;Evacion
PPL 343;9695119958;Roberto Cesar Paredes Reyes;42;28;21/02/2001;21/02/2029;5;3(C);C83;Medio;2;Fraude
PPL 344;3049270473;Michael Pablo Perero Rivera;59;45;21/05/1984;21/05/2029;5;3(C);C84;Medio;2;Robo
PPL 345;6725961675;Roberto Cesar Cuenca Sanchez;62;46;30/05/1981;30/05/2027;3;3(C);C85;Medio;2;Hurto
PPL 346;4268197595;Mario Sergio Garcia Sanchez;53;38;09/05/1990;09/05/2028;4;3(C);C86;Medio;2;Evacion
PPL 347;3049967741;Fabian Antonio Perero Rivera;49;35;01/09/1994;01/09/2029;5;3(C);C87;Medio;2;Fraude
PPL 348;3595594223;Mario Diego Torres Hidalgo;62;43;11/03/1983;11/03/2026;2;3(C);C88;Medio;2;Robo
PPL 349;5032787258;Carlos Angel Gonzales Ramirez;45;30;06/03/1998;06/03/2028;4;3(C);C89;Medio;2;Fraude
PPL 350;2347730921;Roberto Sergio Gonzales Reyes;52;36;23/11/1991;23/11/2027;3;3(C);C90;Medio;2;Hurto
PPL 351;1335940009;Roberto Angel Garcia Morales;65;47;31/12/1981;31/12/2028;4;3(C);C1;Medio;2;Fraude
PPL 352;4999429097;Dario Antonio Guerrero Gomez;59;39;05/10/1987;05/10/2026;2;3(C);C2;Medio;2;Fraude
PPL 353;8689062364;Dario Adrian Paredes Sanchez;38;22;07/04/2007;07/04/2029;5;3(C);C3;Medio;2;Evacion
PPL 354;2679790612;Victor Sergio Cevallos Rivera;26;28;11/02/2019;11/02/2047;23;3(C);C4;Medio;2;Evacion
PPL 355;4707818025;Roberto Paulo Cevallos Morales;33;27;08/03/2020;08/03/2047;23;3(C);C5;Medio;2;Fraude
PPL 356;6635088399;Carlos Paulo Paredes Reyes;39;18;06/07/2007;06/07/2025;1;3(C);C6;Medio;2;Fraude
PPL 357;3570699437;Mario Julian Guerrero Gomez;48;31;16/06/1997;16/06/2028;4;3(C);C7;Medio;2;Evacion
PPL 358;7128747089;Michael Angel Romero Hidalgo;50;13;18/07/2014;18/07/2027;3;3(C);C8;Medio;2;Fraude
PPL 359;3735469903;Fabian Julian Garcia Sanchez;26;23;24/01/2024;24/01/2047;23;3(C);C9;Medio;2;Hurto
PPL 360;4727034246;Fabian Antonio Paredes Ramirez;58;41;11/09/1986;11/09/2027;3;3(C);C10;Medio;2;Robo
PPL 361;5034620608;Pedro Angel Gonzales Hidalgo;49;26;24/03/2021;24/03/2047;23;3(C);C11;Medio;2;Robo
PPL 362;8955290513;Mario Sergio Perero Gomez;42;28;13/04/2001;13/04/2029;5;3(C);C12;Medio;2;Evacion
PPL 363;7434987859;Gonzalo Sergio Paredes Ramirez;51;37;30/06/1992;30/06/2029;5;3(C);C13;Medio;2;Fraude
PPL 364;6917936829;Gonzalo Pablo Garcia Ramirez;57;41;05/01/1987;05/01/2028;4;3(C);C14;Medio;2;Fraude
PPL 365;9810236054;Mario Adrian Torres Sanchez;64;47;30/05/1980;30/05/2027;3;3(C);C15;Medio;2;Fraude
PPL 366;2219342632;Roberto Angel Paredes Sanchez;45;26;12/09/2004;12/09/2030;6;3(C);C16;Medio;2;Fraude
PPL 367;1633267795;Carlos Cesar Cevallos Roman;38;28;25/03/2021;25/03/2049;25;3(C);C17;Medio;2;Robo
PPL 368;6071424434;Gonzalo Antonio Torres Gomez;63;48;02/02/1980;02/02/2028;4;3(C);C18;Medio;2;Robo
PPL 369;8817052232;Gonzalo Angel Paredes Reyes;42;27;03/01/2001;03/01/2028;4;3(C);C19;Medio;2;Evacion
PPL 370;3584081515;Gonzalo Paulo Torres Sanchez;58;41;28/03/1985;28/03/2026;2;3(C);C20;Medio;2;Robo
PPL 371;2557972699;Roberto Angel Paredes Morales;50;37;22/10/1993;22/10/2030;6;3(C);C21;Medio;2;Evacion
PPL 372;4436137604;Carlos Sergio Perero Gomez;58;42;04/07/1985;04/07/2027;3;3(C);C22;Medio;2;Robo
PPL 373;6180661422;Michael Pablo Garcia Ramirez;48;33;16/07/1995;16/07/2028;4;3(C);C23;Medio;2;Hurto
PPL 374;3070352620;Gonzalo Angel Torres Hidalgo;38;10;15/07/2019;15/07/2029;5;3(C);C24;Medio;2;Hurto
PPL 375;3381144962;Pedro Angel Paredes Ramirez;31;25;05/10/2017;05/10/2042;18;3(C);C25;Medio;2;Robo
PPL 376;1339568710;Fabian Antonio Cuenca Morales;49;35;24/08/1994;24/08/2029;5;3(C);C26;Medio;2;Fraude
PPL 377;9988031894;Roberto Antonio Torres Reyes;35;24;09/02/2011;09/02/2035;11;3(C);C27;Medio;2;Fraude
PPL 378;5839948495;Mario Pablo Paredes Sanchez;46;32;13/08/1997;13/08/2029;5;3(C);C28;Medio;2;Robo
PPL 379;1135815591;Michael Pablo Garcia Morales;43;25;24/02/2005;24/02/2030;6;3(C);C29;Medio;2;Robo
PPL 380;3999553206;Dario Adrian Perero Roman;44;26;05/03/2001;05/03/2027;3;3(C);C30;Medio;2;Hurto
PPL 381;7630883249;Michael Antonio Cevallos Gomez;61;47;17/05/1982;17/05/2029;5;3(C);C31;Medio;2;Robo
PPL 382;4970296406;Fabian Antonio Torres Ramirez;35;23;12/01/2016;12/01/2039;15;3(C);C32;Medio;2;Evacion
PPL 383;5351219444;Fabian Antonio Paredes Espinosa;44;26;19/12/2006;19/12/2032;8;3(C);C33;Medio;2;Hurto
PPL 384;6161970630;Pedro Antonio Torres Hidalgo;56;40;18/10/1989;18/10/2029;5;3(C);C34;Medio;2;Robo
PPL 385;3904742019;Pedro Antonio Romero Morales;38;25;03/11/2015;03/11/2040;16;3(C);C35;Medio;2;Fraude
PPL 386;6753859419;Victor Pablo Cevallos Sanchez;52;35;31/12/1991;31/12/2026;2;3(C);C36;Medio;2;Robo
PPL 387;4085939207;Roberto Adrian Guerrero Rivera;37;17;11/06/2014;11/06/2031;7;3(C);C37;Medio;2;Hurto
PPL 388;7663325046;Michael Pablo Cevallos Espinosa;34;28;27/03/2013;27/03/2041;17;3(C);C38;Medio;2;Fraude
PPL 389;4065918031;Mario Pablo Paredes Morales;46;23;14/04/2005;14/04/2028;4;3(C);C39;Medio;2;Evacion
PPL 390;7051568048;Roberto Angel Guerrero Sanchez;39;21;01/06/2015;01/06/2036;12;3(C);C40;Medio;2;Hurto
PPL 391;9453553106;Michael Sergio Cuenca Hidalgo;47;33;27/08/1996;27/08/2029;5;3(C);C41;Medio;2;Hurto
PPL 392;6113579361;Michael Antonio Cuenca Roman;46;29;09/01/1998;09/01/2027;3;3(C);C42;Medio;2;Evacion
PPL 393;6498360456;Roberto Julian Paredes Rivera;55;37;13/03/1991;13/03/2028;4;3(C);C43;Medio;2;Hurto
PPL 394;8695320070;Gonzalo Antonio Perero Ramirez;39;11;29/04/2017;29/04/2028;4;3(C);C44;Medio;2;Robo
PPL 395;9653613522;Roberto Antonio Romero Hidalgo;60;44;17/01/1985;17/01/2029;5;3(C);C45;Medio;2;Fraude
PPL 396;2263477042;Pedro Antonio Perero Hidalgo;42;26;05/06/2001;05/06/2027;3;3(C);C46;Medio;2;Hurto
PPL 397;8828838495;Roberto Antonio Cuenca Rivera;61;47;22/09/1983;22/09/2030;6;3(C);C47;Medio;2;Evacion
PPL 398;10007442400;Gonzalo Diego Cevallos Rivera;44;25;08/12/2004;08/12/2029;5;3(C);C48;Medio;2;Robo
PPL 399;8167856748;Mario Paulo Perero Gomez;56;40;09/05/1988;09/05/2028;4;3(C);C49;Medio;2;Hurto
PPL 400;8815381638;Dario Antonio Gonzales Ramirez;49;31;17/10/1997;17/10/2028;4;3(C);C50;Medio;2;Robo
PPL 401;6547813103;Roberto Angel Gonzales Roman;44;23;28/05/2003;28/05/2026;2;3(C);C51;Medio;2;Fraude
PPL 402;4874547194;Pedro Paulo Paredes Espinosa;34;29;08/08/2015;08/08/2044;20;3(C);C52;Medio;2;Hurto
PPL 403;8668995295;Carlos Antonio Gonzales Morales;64;44;10/11/1982;10/11/2026;2;3(C);C53;Medio;2;Hurto
PPL 404;9636342375;Michael Diego Perero Morales;37;23;26/12/2006;26/12/2029;5;3(C);C54;Medio;2;Hurto
PPL 405;1488337222;Dario Antonio Garcia Espinosa;42;16;15/06/2010;15/06/2026;2;3(C);C55;Medio;2;Evacion
PPL 406;1030950793;Michael Angel Cevallos Gomez;44;28;19/12/2000;19/12/2028;4;3(C);C56;Medio;2;Fraude
PPL 407;4666539049;Mario Paulo Gonzales Sanchez;33;20;18/06/2016;18/06/2036;12;3(C);C57;Medio;2;Evacion
PPL 408;7800840455;Mario Diego Cuenca Gomez;31;15;21/06/2014;21/06/2029;5;3(C);C58;Medio;2;Hurto
PPL 409;3725356372;Dario Paulo Paredes Espinosa;49;25;01/07/2011;01/07/2036;12;3(C);C59;Medio;2;Fraude
PPL 410;2381463448;Carlos Antonio Romero Hidalgo;49;22;28/03/2014;28/03/2036;12;3(C);C60;Medio;2;Fraude
PPL 411;8135521961;Victor Sergio Guerrero Sanchez;40;27;13/02/2003;13/02/2030;6;3(C);C61;Medio;2;Robo
PPL 412;5803370418;Roberto Cesar Torres Hidalgo;48;31;24/08/1996;24/08/2027;3;3(C);C62;Medio;2;Hurto
PPL 413;3703063448;Roberto Antonio Garcia Rivera;63;44;30/06/1982;30/06/2026;2;3(C);C63;Medio;2;Hurto
PPL 414;2565192177;Carlos Diego Torres Ramirez;35;28;15/02/2011;15/02/2039;15;3(C);C64;Medio;2;Fraude
PPL 415;9461333456;Carlos Adrian Cuenca Rivera;46;18;19/04/2010;19/04/2028;4;3(C);C65;Medio;2;Robo
PPL 416;6813645317;Roberto Sergio Paredes Morales;41;26;20/05/2002;20/05/2028;4;3(C);C66;Medio;2;Fraude
PPL 417;1768053308;Dario Adrian Cuenca Morales;54;35;03/03/1992;03/03/2027;3;3(C);C67;Medio;2;Robo
PPL 418;3166110743;Dario Pablo Paredes Sanchez;56;42;03/02/1987;03/02/2029;5;3(C);C68;Medio;2;Fraude
PPL 419;6566788249;Mario Julian Paredes Morales;50;25;01/02/2018;01/02/2043;19;3(C);C69;Medio;2;Hurto
PPL 420;1951816230;Michael Paulo Paredes Ramirez;61;48;02/08/1982;02/08/2030;6;3(C);C70;Medio;2;Fraude
PPL 421;4341466141;Roberto Antonio Cuenca Espinosa;52;32;24/07/1994;24/07/2026;2;3(C);C71;Medio;2;Hurto
PPL 422;9165264375;Roberto Cesar Cuenca Gomez;36;23;20/12/2007;20/12/2030;6;3(C);C72;Medio;2;Hurto
PPL 423;9069018393;Carlos Adrian Cuenca Reyes;45;27;13/11/2003;13/11/2030;6;3(C);C73;Medio;2;Evacion
PPL 424;9929978510;Mario Adrian Cevallos Hidalgo;44;30;01/02/1999;01/02/2029;5;3(C);C74;Medio;2;Fraude
PPL 425;6329990460;Michael Paulo Perero Reyes;53;38;02/11/1990;02/11/2028;4;3(C);C75;Medio;2;Hurto
PPL 426;1525596327;Gonzalo Cesar Paredes Hidalgo;46;31;24/10/1997;24/10/2028;4;3(C);C76;Medio;2;Hurto
PPL 427;6663666291;Roberto Paulo Paredes Morales;61;42;16/07/1984;16/07/2026;2;3(C);C77;Medio;2;Evacion
PPL 428;3390990418;Victor Diego Romero Roman;37;22;15/06/2023;15/06/2045;21;3(C);C78;Medio;2;Fraude
PPL 429;8667169650;Roberto Paulo Cuenca Sanchez;40;23;12/07/2004;12/07/2027;3;3(C);C79;Medio;2;Evacion
PPL 430;6190920892;Michael Pablo Romero Morales;64;46;28/05/1981;28/05/2027;3;3(C);C80;Medio;2;Evacion
PPL 431;1303456034;Roberto Antonio Gonzales Ramirez;60;47;16/05/1983;16/05/2030;6;3(C);C81;Medio;2;Hurto
PPL 432;9040473144;Victor Antonio Perero Ramirez;59;41;24/04/1986;24/04/2027;3;3(C);C82;Medio;2;Fraude
PPL 433;4989598300;Gonzalo Antonio Torres Espinosa;38;9;31/05/2021;31/05/2030;6;3(C);C83;Medio;2;Evacion
PPL 434;2602935419;Victor Antonio Romero Sanchez;30;13;09/08/2014;09/08/2027;3;3(C);C84;Medio;2;Evacion
PPL 435;6770878764;Carlos Diego Guerrero Sanchez;53;37;26/05/1992;26/05/2029;5;3(C);C85;Medio;2;Evacion
PPL 436;4162021267;Mario Pablo Cuenca Reyes;35;19;02/09/2008;02/09/2027;3;3(C);C86;Medio;2;Hurto
PPL 437;8861516034;Michael Pablo Cuenca Ramirez;34;2;21/05/2023;21/05/2025;1;3(C);C87;Medio;2;Fraude
PPL 438;2753577530;Pedro Sergio Garcia Sanchez;30;14;13/07/2017;13/07/2031;7;3(C);C88;Medio;2;Hurto
PPL 439;2586863984;Roberto Adrian Torres Morales;57;44;27/11/1986;27/11/2030;6;3(C);C89;Medio;2;Fraude
PPL 440;9240137717;Mario Sergio Torres Roman;40;26;31/04/2003;31/04/2029;5;3(C);C90;Medio;2;Evacion
