#PPL;Cedula;Nombres;Edad(Anios);Pena(anios);Fecha(Ingreso)(d/m/a);Fecha(Salida)(d/m/a);Anios Restantes (pena);Pabellon;Celda;Clasificacion;Visitas semanales(Horas); Delito
PPL 168;7236169591;Dario Julian Paredes Morales;28;11;24/04/2015;24/04/2026;2;2(B);B88;Medio;2;Evacion
PPL 169;9639822293;Fabian Paulo Torres Roman;33;19;31/05/2011;31/05/2030;6;2(B);B89;Medio;2;Fraude
PPL 170;5486378776;Roberto Antonio Garcia Morales;36;7;30/10/2020;30/10/2027;3;2(B);B90;Medio;2;Robo
PPL 171;2575346994;Mario Sergio Cevallos Rivera;31;16;10/02/2014;10/02/2030;6;2(B);B1;Medio;2;Evacion
PPL 172;2788391010;Fabian Antonio Romero Hidalgo;43;26;07/03/2000;07/03/2026;2;2(B);B2;Medio;2;Hurto
PPL 173;2324592726;Roberto Cesar Guerrero Roman;34;30;08/02/2017;08/02/2047;23;2(B);B3;Medio;2;Fraude
PPL 174;6452739214;Mario Julian Paredes Reyes;41;24;14/06/2006;14/06/2030;6;2(B);B4;Medio;2;Evacion
PPL 175;7916981132;Roberto Paulo Cevallos Sanchez;26;17;05/01/2017;05/01/2034;10;2(B);B5;Medio;2;Fraude
PPL 176;5762536769;Fabian Antonio Cevallos Reyes;43;29;05/10/2000;05/10/2029;5;2(B);B6;Medio;2;Hurto
PPL 177;5849745602;Roberto Diego Gonzales Sanchez;56;38;17/03/1988;17/03/2026;2;2(B);B7;Medio;2;Evacion
PPL 178;8916017499;Fabian Cesar Paredes Gomez;60;43;03/04/1983;03/04/2026;2;2(B);B8;Medio;2;Fraude
PPL 179;2098586325;Carlos Cesar Romero Ramirez;45;29;21/05/1998;21/05/2027;3;2(B);B9;Medio;2;Evacion
PPL 180;9284454282;Fabian Paulo Cuenca Espinosa;55;37;15/02/1991;15/02/2028;4;2(B);B10;Medio;2;Fraude
PPL 181;1475085439;Carlos Cesar Romero Hidalgo;40;13;23/08/2012;23/08/2025;1;2(B);B11;Medio;2;Evacion
PPL 182;3746511947;Victor Antonio Romero Reyes;38;30;20/09/2017;20/09/2047;23;2(B);B12;Medio;2;Robo
PPL 183;2029655544;Victor Antonio Romero Sanchez;58;41;02/08/1988;02/08/2029;5;2(B);B13;Medio;2;Evacion
PPL 184;9074618197;Roberto Pablo Paredes Espinosa;37;16;26/01/2018;26/01/2034;10;2(B);B14;Medio;2;Hurto
PPL 185;1990443234;Carlos Pablo Garcia Ramirez;54;36;25/03/1992;25/03/2028;4;2(B);B15;Medio;2;Fraude
PPL 186;6910141652;Victor Julian Garcia Reyes;52;35;04/02/1994;04/02/2029;5;2(B);B16;Medio;2;Robo
PPL 187;4245440841;Roberto Cesar Torres Espinosa;44;17;26/06/2021;26/06/2038;14;2(B);B17;Medio;2;Robo
PPL 188;1880282763;Mario Pablo Gonzales Gomez;49;17;04/03/2014;04/03/2031;7;2(B);B18;Medio;2;Evacion
PPL 189;3556658000;Roberto Antonio Garcia Morales;52;36;28/07/1991;28/07/2027;3;2(B);B19;Medio;2;Hurto
PPL 190;8882637640;Carlos Angel Garcia Hidalgo;55;35;21/06/1991;21/06/2026;2;2(B);B20;Medio;2;Robo
PPL 191;8614482033;Mario Antonio Torres Morales;43;29;14/09/2000;14/09/2029;5;2(B);B21;Medio;2;Evacion
PPL 192;1850698052;Gonzalo Julian Romero Rivera;54;38;27/05/1990;27/05/2028;4;2(B);B22;Medio;2;Robo
PPL 193;5371013498;Victor Sergio Cevallos Rivera;38;22;13/03/2005;13/03/2027;3;2(B);B23;Medio;2;Hurto
PPL 194;8685843202;Pedro Antonio Garcia Ramirez;48;25;12/11/2001;12/11/2026;2;2(B);B24;Medio;2;Hurto
PPL 195;4512279682;Dario Antonio Torres Morales;26;15;06/07/2019;06/07/2034;10;2(B);B25;Medio;2;Evacion
PPL 196;3796142973;Victor Diego Guerrero Rivera;45;14;12/09/2013;12/09/2027;3;2(B);B26;Medio;2;Robo
PPL 197;6388691458;Carlos Angel Romero Gomez;58;41;06/01/1985;06/01/2026;2;2(B);B27;Medio;2;Fraude
PPL 198;4046649412;Mario Pablo Perero Morales;42;12;19/11/2014;19/11/2026;2;2(B);B28;Medio;2;Evacion
PPL 199;5516147730;Dario Cesar Paredes Espinosa;36;22;29/04/2008;29/04/2030;6;2(B);B29;Medio;2;Fraude
PPL 200;4725346482;Victor Sergio Gonzales Rivera;48;34;28/01/1995;28/01/2029;5;2(B);B30;Medio;2;Fraude
PPL 201;7712749709;Michael Sergio Paredes Roman;44;28;16/06/2001;16/06/2029;5;2(B);B31;Medio;2;Fraude
PPL 202;9653575761;Victor Adrian Gonzales Ramirez;46;21;04/12/2008;04/12/2029;5;2(B);B32;Medio;2;Fraude
PPL 203;4682632375;Carlos Paulo Paredes Gomez;48;21;17/06/2023;17/06/2044;20;2(B);B33;Medio;2;Evacion
PPL 204;8094932528;Roberto Diego Guerrero Sanchez;48;31;10/05/1995;10/05/2026;2;2(B);B34;Medio;2;Evacion
PPL 205;6470082109;Victor Julian Guerrero Morales;53;35;27/07/1991;27/07/2026;2;2(B);B35;Medio;2;Evacion
PPL 206;6546047165;Dario Julian Romero Roman;44;28;18/12/2000;18/12/2028;4;2(B);B36;Medio;2;Evacion
PPL 207;4037987502;Roberto Cesar Perero Sanchez;44;25;29/05/2001;29/05/2026;2;2(B);B37;Medio;2;Robo
PPL 208;9541137927;Carlos Julian Guerrero Morales;30;19;31/01/2019;31/01/2038;14;2(B);B38;Medio;2;Fraude
PPL 209;5280812697;Fabian Antonio Guerrero Sanchez;61;47;25/11/1982;25/11/2029;5;2(B);B39;Medio;2;Hurto
PPL 210;7240932253;Dario Angel Paredes Rivera;49;34;29/10/1994;29/10/2028;4;2(B);B40;Medio;2;Robo
PPL 211;3860888816;Mario Sergio Paredes Rivera;57;38;11/02/1989;11/02/2027;3;2(B);B41;Medio;2;Hurto
PPL 212;1152122348;Carlos Pablo Cevallos Morales;43;26;23/03/2001;23/03/2027;3;2(B);B42;Medio;2;Evacion
PPL 213;9625086429;Mario Paulo Cuenca Morales;59;43;30/03/1984;30/03/2027;3;2(B);B43;Medio;2;Hurto
PPL 214;8980778809;Roberto Diego Garcia Roman;26;21;14/08/2024;14/08/2045;21;2(B);B44;Medio;2;Hurto
PPL 215;1769292355;Carlos Antonio Paredes Roman;36;20;25/11/2009;25/11/2029;5;2(B);B45;Medio;2;Fraude
PPL 216;6567484434;Dario Julian Romero Rivera;46;17;25/02/2021;25/02/2038;14;2(B);B46;Medio;2;Fraude
PPL 217;5676063870;Mario Pablo Perero Morales;50;32;10/05/1995;10/05/2027;3;2(B);B47;Medio;2;Hurto
PPL 218;6194176125;Michael Julian Cuenca Ramirez;41;17;29/11/2013;29/11/2030;6;2(B);B48;Medio;2;Robo
PPL 219;8827573446;Roberto Adrian Gonzales Ramirez;38;23;11/05/2006;11/05/2029;5;2(B);B49;Medio;2;Hurto
PPL 220;8264938408;Fabian Adrian Torres Sanchez;58;40;09/01/1986;09/01/2026;2;2(B);B50;Medio;2;Hurto
PPL 221;3532317348;Roberto Julian Torres Sanchez;40;30;08/04/2003;08/04/2033;9;2(B);B51;Medio;2;Robo
PPL 222;1243796542;Carlos Cesar Paredes Sanchez;50;32;05/08/1994;05/08/2026;2;2(B);B52;Medio;2;Fraude
PPL 223;2039567138;Mario Julian Paredes Morales;43;28;11/08/2017;11/08/2045;21;2(B);B53;Medio;2;Fraude
PPL 224;9079731047;Gonzalo Cesar Garcia Hidalgo;48;32;08/02/1995;08/02/2027;3;2(B);B54;Medio;2;Fraude
PPL 225;7772231518;Fabian Pablo Guerrero Reyes;39;28;29/03/2008;29/03/2036;12;2(B);B55;Medio;2;Fraude
PPL 226;8848969112;Mario Julian Paredes Roman;55;41;08/12/1989;08/12/2030;6;2(B);B56;Medio;2;Fraude
PPL 227;5151441756;Carlos Julian Perero Sanchez;53;38;22/02/1990;22/02/2028;4;2(B);B57;Medio;2;Robo
PPL 228;3721127089;Gonzalo Paulo Gonzales Reyes;35;21;21/03/2015;21/03/2036;12;2(B);B58;Medio;2;Hurto
PPL 229;4763588433;Gonzalo Antonio Paredes Hidalgo;26;18;04/12/2020;04/12/2038;14;2(B);B59;Medio;2;Robo
PPL 230;6777093650;Michael Diego Paredes Morales;43;27;06/06/2000;06/06/2027;3;2(B);B60;Medio;2;Fraude
PPL 231;5391231031;Dario Paulo Garcia Espinosa;41;23;08/08/2003;08/08/2026;2;2(B);B61;Medio;2;Fraude
PPL 232;7722768237;Carlos Diego Garcia Hidalgo;41;29;27/04/2002;27/04/2031;7;2(B);B62;Medio;2;Fraude
PPL 233;4355488180;Gonzalo Diego Cevallos Rivera;32;16;15/02/2012;15/02/2028;4;2(B);B63;Medio;2;Robo
PPL 234;3889322862;Victor Pablo Romero Hidalgo;52;32;12/08/1994;12/08/2026;2;2(B);B64;Medio;2;Hurto
PPL 235;1685381704;Pedro Pablo Paredes Roman;38;25;06/12/2011;06/12/2036;12;2(B);B65;Medio;2;Hurto
PPL 236;5189779869;Victor Sergio Perero Roman;37;21;02/09/2006;02/09/2027;3;2(B);B66;Medio;2;Robo
PPL 237;4633168808;Pedro Diego Gonzales Ramirez;63;47;20/09/1982;20/09/2029;5;2(B);B67;Medio;2;Robo
PPL 238;2433726249;Dario Angel Romero Ramirez;46;29;10/02/1998;10/02/2027;3;2(B);B68;Medio;2;Hurto
PPL 239;4607346513;Roberto Diego Romero Espinosa;38;21;25/07/2005;25/07/2026;2;2(B);B69;Medio;2;Hurto
PPL 240;3325194465;Dario Antonio Romero Roman;46;29;09/11/2000;09/11/2029;5;2(B);B70;Medio;2;Robo
PPL 241;2959081047;Roberto Pablo Torres Sanchez;43;12;03/01/2015;03/01/2027;3;2(B);B71;Medio;2;Fraude
PPL 242;3148987733;Dario Diego Guerrero Reyes;55;42;31/07/1988;31/07/2030;6;2(B);B72;Medio;2;Hurto
PPL 243;8787785924;Roberto Julian Romero Gomez;61;41;08/07/1985;08/07/2026;2;2(B);B73;Medio;2;Fraude
PPL 244;5540871305;Fabian Paulo Guerrero Hidalgo;61;43;24/09/1985;24/09/2028;4;2(B);B74;Medio;2;Fraude
PPL 245;7579096893;Michael Sergio Guerrero Hidalgo;45;11;16/11/2015;16/11/2026;2;2(B);B75;Medio;2;Hurto
PPL 246;5767615545;Victor Antonio Cevallos Espinosa;55;37;29/09/1990;29/09/2027;3;2(B);B76;Medio;2;Evacion
PPL 247;5819861432;Victor Cesar Perero Sanchez;64;46;22/04/1982;22/04/2028;4;2(B);B77;Medio;2;Hurto
PPL 248;5539946299;Mario Paulo Guerrero Gomez;56;41;08/11/1989;08/11/2030;6;2(B);B78;Medio;2;Fraude
PPL 249;6328683327;Pedro Sergio Paredes Espinosa;64;48;22/09/1982;22/09/2030;6;2(B);B79;Medio;2;Fraude
PPL 250;4816733708;Roberto Diego Paredes Hidalgo;50;35;11/03/1994;11/03/2029;5;2(B);B80;Medio;2;Fraude
PPL 251;8836380379;Pedro Diego Paredes Hidalgo;61;44;31/08/1984;31/08/2028;4;2(B);B81;Medio;2;Robo
PPL 252;7895716769;Roberto Adrian Guerrero Espinosa;35;18;08/12/2009;08/12/2027;3;2(B);B82;Medio;2;Hurto
PPL 253;4395234579;Victor Diego Torres Reyes;45;14;31/09/2021;31/09/2035;11;2(B);B83;Medio;2;Evacion
PPL 254;9889064741;Gonzalo Diego Paredes Sanchez;57;41;11/01/1989;11/01/2030;6;2(B);B84;Medio;2;Evacion
PPL 255;8121059745;Mario Angel Guerrero Morales;30;13;05/10/2014;05/10/2027;3;2(B);B85;Medio;2;Fraude
PPL 256;1813369778;Victor Pablo Gonzales Roman;52;38;12/07/1992;12/07/2030;6;2(B);B86;Medio;2;Hurto
PPL 257;2074449159;Mario Antonio Torres Gomez;28;6;29/05/2021;29/05/2027;3;2(B);B87;Medio;2;Robo
PPL 258;4686170517;Carlos Sergio Cevallos Rivera;51;36;04/09/1992;04/09/2028;4;2(B);B88;Medio;2;Hurto
PPL 259;4630773302;Pedro Adrian Paredes Espinosa;57;40;03/06/1986;03/06/2026;2;2(B);B89;Medio;2;Hurto
PPL 260;6228523672;Roberto Antonio Perero Sanchez;30;16;02/09/2014;02/09/2030;6;2(B);B90;Medio;2;Robo
